cluster,gene,wilcoxon_score,log2FC,pvals,pvals_adj,pct_in,pct_out,n_cells_in_cluster
14,Glyma.10G249800,23.04868,1.5953196,1.5164330395817785e-117,1.4102827268110538e-115,0.5651115618661258,0.29112206270980645,2465
14,Glyma.20G143800,16.996754,1.3393618,8.679660406633993e-65,4.0360420890848065e-63,0.43975659229208924,0.2243768302264124,2465
10,Glyma.08G291000,14.668333,2.8015876,1.0284090407196952e-48,9.564204078693165e-47,0.4028683181225554,0.10326599326599327,767
17,Glyma.05G243000,12.696691,3.1171358,6.16837750808855e-37,5.736591082522351e-35,0.2732447817836812,0.044606126542685205,1054
6,Glyma.18G133100,5.695782,3.1593852,1.2280750758838834e-08,1.1421098205720114e-06,0.12121212121212122,0.01718516505909523,1023
14,Glyma.07G223700,4.5455294,0.72413665,5.479732010694237e-06,0.000127403769248641,0.14239350912778906,0.08492250553531891,2465
0,Glyma.02G030200,3.738492,1.7917386,0.0001851273262131366,0.0172168413378217,0.06858316221765914,0.023401826484018264,2435
17,Glyma.18G008700,3.6857626,0.7973724,0.0002280188108089188,0.0104908535066511,0.1461100569259962,0.07534083568490123,1054
14,Glyma.10G158100,3.6758745,0.6775207,0.0002370359923473221,0.004408869457660191,0.11602434077079107,0.06960217127348046,2465
17,Glyma.14G039900,3.5301936,0.5836714,0.000415255691290541,0.0104908535066511,0.18785578747628084,0.1175670621833883,1054
17,Glyma.11G248500,3.3055763,0.8969188,0.0009478131210751084,0.014691103376664181,0.12144212523719165,0.05922551252847381,1054
13,Glyma.13G306600,3.218568,1.6515019,0.001288323680827223,0.013312678035214638,0.042421275901452116,0.016147588133782562,6129
14,Glyma.20G023500,2.663539,0.76059395,0.0077323490062285016,0.08988855719740632,0.07707910750507099,0.04428255124633955,2465
17,Glyma.08G347600,2.274216,0.73470885,0.022953007944019117,0.30494710554196824,0.09487666034155598,0.05239179954441914,1054
13,Glyma.20G135400,2.1241233,1.688439,0.03365982474253846,0.2235974072182912,0.0270843530755425,0.009655682471854712,6129
17,Glyma.08G102600,2.10334,0.47734395,0.03543607278028006,0.36617275206289396,0.11669829222011385,0.07612280284228062,1054
6,Glyma.05G195300,2.0034814,0.89526874,0.04512564614261832,1.0,0.08308895405669599,0.04615541366662138,1023
13,Glyma.12G195900,1.9853042,0.8567336,0.04711063107897916,0.29208591268967077,0.047152879751998694,0.03147341605719451,6129
0,Glyma.03G153800,1.971258,2.2788267,0.04869436530916541,1.0,0.03162217659137577,0.007669805936073059,2435
16,Glyma.06G164600,1.7665952,0.9333887,0.0772960470205553,1.0,0.16145833333333334,0.08343517753922378,192
17,Glyma.02G276000,1.687127,0.93112963,0.0915789458955726,0.7742583607534774,0.05787476280834915,0.02685887192737905,1054
17,Glyma.04G207900,1.433291,0.64618003,0.15177470922574426,1.0,0.061669829222011384,0.035086526365892635,1054
17,Glyma.05G145800,1.3986973,0.48657328,0.16190378137109274,1.0,0.06546489563567362,0.03913235644102948,1054
17,Glyma.17G201300,1.3793696,0.31662956,0.16778080808907847,1.0,0.07590132827324478,0.0492299323428416,1054
14,Glyma.15G258300,1.3252953,0.54842263,0.18507320264259075,1.0,0.044219066937119675,0.027855153203342618,2465
